,gender,situation,tea,coffee,height,weight,age,meat,fish,raw_fruit,cooked_fruit_veg,chocol,fat
0,2,1,0,0,151.0,58,72,4,3,1,4,5,6
1,2,1,1,1,162.0,60,68,5,2,5,5,1,4
2,2,1,0,4,162.0,75,78,3,1,5,2,5,4
3,2,1,0,0,154.0,45,91,0,4,4,0,3,2
4,2,1,2,1,154.0,50,65,5,3,5,5,3,2
5,2,1,2,0,159.0,66,82,4,2,5,5,1,3
6,2,1,2,0,160.0,66,74,3,3,5,5,5,6
7,2,1,0,2,163.0,66,73,4,2,5,5,1,6
8,2,1,0,3,154.0,60,89,4,3,5,5,5,6
9,2,1,0,2,160.0,77,87,2,3,5,4,0,3
10,2,1,0,2,175.0,68,91,5,2,5,5,5,3
11,2,1,2,0,165.0,75,81,5,2,2,3,0,6
12,2,1,0,3,158.0,53,89,4,2,5,5,5,4
13,2,1,2,0,155.0,63,79,3,1,5,3,2,4
14,2,1,0,2,154.0,80,83,3,3,5,5,1,3
15,1,1,0,3,166.0,80,78,5,0,5,3,0,4
16,2,1,0,2,159.0,57,74,3,2,5,3,1,4
17,2,1,0,2,157.0,55,74,3,2,5,5,2,3
18,1,1,0,1,165.0,57,78,5,2,5,5,5,4
19,2,1,0,0,156.0,90,78,5,1,5,5,2,4
20,1,2,0,1,175.0,90,73,5,1,5,3,2,8
21,2,2,2,2,161.0,68,76,4,2,5,5,1,1
22,1,2,2,2,168.0,83,85,4,2,5,5,1,1
23,1,1,0,4,168.0,90,73,3,2,4,5,0,3
24,2,2,3,1,156.0,56,77,3,2,5,3,0,4
25,1,2,3,2,170.0,70,74,3,2,5,3,0,4
26,2,1,0,0,162.0,58,67,4,3,5,5,0,3
27,1,2,4,5,172.0,80,68,5,3,5,5,5,5
28,2,1,1,1,165.0,75,69,4,3,5,5,5,3
29,1,2,0,2,171.0,81,71,4,2,5,5,5,3
30,2,2,0,1,160.0,54,67,4,4,5,3,2,4
31,1,2,0,3,176.0,82,76,3,3,3,5,5,6
32,1,2,0,3,164.0,53,69,5,3,5,5,1,5
33,2,2,1,2,156.0,58,67,5,3,5,5,5,3
34,2,1,0,2,153.0,70,69,5,0,5,5,3,5
35,1,2,1,0,159.0,70,85,3,1,5,4,5,1
36,1,2,0,5,170.0,60,74,4,2,5,5,5,1
37,1,3,0,0,178.0,87,78,3,2,4,3,2,1
38,1,2,1,2,172.0,86,73,2,5,5,5,1,4
39,1,2,0,3,186.0,95,74,4,3,5,5,5,4
40,2,2,0,3,168.0,77,69,4,3,5,5,5,4
41,1,1,0,0,181.0,94,71,3,2,5,3,5,5
42,1,1,0,1,172.0,62,85,5,3,5,5,0,5
43,1,2,0,0,160.0,55,70,5,3,5,5,5,2
44,2,2,0,0,155.0,50,73,5,1,5,5,0,3
45,1,2,0,1,172.0,81,74,5,1,5,5,0,3
46,2,2,0,2,160.0,62,77,3,2,3,5,0,4
47,2,1,0,1,158.0,51,69,5,1,5,5,1,4
48,2,1,0,2,160.0,49,76,3,3,5,5,3,4
49,2,1,0,0,164.0,70,79,3,3,4,5,0,5
50,2,2,0,3,153.0,60,65,3,3,3,4,3,4
51,1,2,0,4,169.0,68,66,3,3,1,4,1,4
52,2,1,2,1,165.0,65,85,5,5,5,5,3,5
53,1,1,0,2,166.0,66,90,3,2,5,3,0,3
54,1,1,0,3,176.0,85,75,5,5,5,2,0,2
